id,c_fraccionarancelaria,descripcion
catalogos_fraccionarancelaria1,01011001,Derogada
catalogos_fraccionarancelaria2,01011099,Derogada
catalogos_fraccionarancelaria3,01012101,Reproductores de raza pura.
catalogos_fraccionarancelaria4,01012901,Para saltos o carreras.
catalogos_fraccionarancelaria5,01012902,"Sin pedigree, para reproducción."
catalogos_fraccionarancelaria6,01012903,"Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal."
catalogos_fraccionarancelaria7,01012999,Los demás.
catalogos_fraccionarancelaria8,01013001,Asnos.
catalogos_fraccionarancelaria9,01019001,Derogada
catalogos_fraccionarancelaria10,01019002,Derogada
catalogos_fraccionarancelaria11,01019003,Derogada
catalogos_fraccionarancelaria12,01019099,Los demás.
catalogos_fraccionarancelaria13,01021001,Derogada
catalogos_fraccionarancelaria14,01022101,Reproductores de raza pura.
catalogos_fraccionarancelaria15,01022901,Vacas lecheras.
catalogos_fraccionarancelaria16,01022902,"Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción 0102.29.01."
catalogos_fraccionarancelaria17,01022999,Los demás.
catalogos_fraccionarancelaria18,01023101,Reproductores de raza pura.
catalogos_fraccionarancelaria19,01023999,Los demás.
catalogos_fraccionarancelaria20,01029001,Derogada
catalogos_fraccionarancelaria21,01029002,Derogada
catalogos_fraccionarancelaria22,01029003,Derogada
catalogos_fraccionarancelaria23,01029099,Los demás.
catalogos_fraccionarancelaria24,01031001,Reproductores de raza pura.
catalogos_fraccionarancelaria25,01039101,Con pedigree o certificado de alto registro.
catalogos_fraccionarancelaria26,01039102,Pecarís.
catalogos_fraccionarancelaria27,01039199,Los demás.
catalogos_fraccionarancelaria28,01039201,Con pedigree o certificado de alto registro.
catalogos_fraccionarancelaria29,01039202,"De peso superior a 110 kg, excepto lo comprendido en las fracciones 0103.92.01 y 0103.92.03."
catalogos_fraccionarancelaria30,01039203,Pecarís.
catalogos_fraccionarancelaria31,01039299,Los demás.
catalogos_fraccionarancelaria32,01041001,Con pedigree o certificado de alto registro.
catalogos_fraccionarancelaria33,01041002,Para abasto.
catalogos_fraccionarancelaria34,01041099,Los demás.
catalogos_fraccionarancelaria35,01042001,Con pedigree o certificado de alto registro.
catalogos_fraccionarancelaria36,01042002,Borrego cimarrón.
catalogos_fraccionarancelaria37,01042099,Los demás.
catalogos_fraccionarancelaria38,01051101,Cuando no necesiten alimento durante su transporte.
catalogos_fraccionarancelaria39,01051102,"Aves progenitoras recién nacidas, con certificado de alto registro, cuando se importe un máximo de 18,000 cabezas por cada operación."
catalogos_fraccionarancelaria40,01051199,Los demás.
catalogos_fraccionarancelaria41,01051201,Pavos (gallipavos).
catalogos_fraccionarancelaria42,01051301,Patos.
catalogos_fraccionarancelaria43,01051401,Gansos.
catalogos_fraccionarancelaria44,01051501,Pintadas.
catalogos_fraccionarancelaria45,01051999,Derogada
catalogos_fraccionarancelaria46,01059401,Gallos de pelea.
catalogos_fraccionarancelaria47,01059499,Los demás.
catalogos_fraccionarancelaria48,01059999,Los demás.
catalogos_fraccionarancelaria49,01061101,Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.
catalogos_fraccionarancelaria50,01061199,Los demás.
catalogos_fraccionarancelaria51,01061201,"Ballenas, delfines y marsopas (mamíferos del orden Cetáceos); manatíes y dugones o dugongos (mamíferos del orden Sirenios); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)."
catalogos_fraccionarancelaria52,01061301,Camellos y los demás camélidos (Camelidae).
catalogos_fraccionarancelaria53,01061401,Conejos y liebres.
catalogos_fraccionarancelaria54,01061901,"Berrendo, oso, lobo, castor, puma, jaguar, ocelote, margay, gato de monte o tapir."
catalogos_fraccionarancelaria55,01061902,Venado rojo (Cervus elaphus); gamo (Dama dama).
catalogos_fraccionarancelaria56,01061903,Perros.
catalogos_fraccionarancelaria57,01061904,Derogada
catalogos_fraccionarancelaria58,01061905,Derogada
catalogos_fraccionarancelaria59,01061999,Los demás.
catalogos_fraccionarancelaria60,01062001,Víbora de cascabel.
catalogos_fraccionarancelaria61,01062002,Tortugas terrestres.
catalogos_fraccionarancelaria62,01062003,Tortugas de agua dulce o de mar.
catalogos_fraccionarancelaria63,01062099,Los demás.
catalogos_fraccionarancelaria64,01063101,Aves de rapiña.
catalogos_fraccionarancelaria65,01063201,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)."
catalogos_fraccionarancelaria66,01063301,Avestruces; emús (Dromaius novaehollandiae).
catalogos_fraccionarancelaria67,01063901,Flamencos; quetzales; guan cornudo; pato real.
catalogos_fraccionarancelaria68,01063902,Aves canoras.
catalogos_fraccionarancelaria69,01063999,Las demás.
catalogos_fraccionarancelaria70,01064101,Abejas.
catalogos_fraccionarancelaria71,01064999,Los demás.
catalogos_fraccionarancelaria72,01069001,Derogada
catalogos_fraccionarancelaria73,01069002,Lombriz Rebellus.
catalogos_fraccionarancelaria74,01069003,Lombriz acuática.
catalogos_fraccionarancelaria75,01069004,Ácaros Phytoseiulus persimilis.
catalogos_fraccionarancelaria76,01069099,Los demás.
catalogos_fraccionarancelaria77,02011001,En canales o medias canales.
catalogos_fraccionarancelaria78,02012099,Los demás cortes (trozos) sin deshuesar.
catalogos_fraccionarancelaria79,02013001,Deshuesada.
catalogos_fraccionarancelaria80,02021001,En canales o medias canales.
catalogos_fraccionarancelaria81,02022099,Los demás cortes (trozos) sin deshuesar.
catalogos_fraccionarancelaria82,02023001,Deshuesada.
catalogos_fraccionarancelaria83,02031101,En canales o medias canales.
catalogos_fraccionarancelaria84,02031201,"Piernas, paletas, y sus trozos, sin deshuesar."
catalogos_fraccionarancelaria85,02031999,Las demás.
catalogos_fraccionarancelaria86,02032101,En canales o medias canales.
catalogos_fraccionarancelaria87,02032201,"Piernas, paletas, y sus trozos, sin deshuesar."
catalogos_fraccionarancelaria88,02032999,Las demás.
catalogos_fraccionarancelaria89,02041001,"Canales o medias canales de cordero, frescas o refrigeradas."
catalogos_fraccionarancelaria90,02042101,En canales o medias canales.
catalogos_fraccionarancelaria91,02042299,Los demás cortes (trozos) sin deshuesar.
catalogos_fraccionarancelaria92,02042301,Deshuesadas.
catalogos_fraccionarancelaria93,02043001,"Canales o medias canales de cordero, congeladas."
catalogos_fraccionarancelaria94,02044101,En canales o medias canales.
catalogos_fraccionarancelaria95,02044299,Los demás cortes (trozos) sin deshuesar.
catalogos_fraccionarancelaria96,02044301,Deshuesadas.
catalogos_fraccionarancelaria97,02045001,Carne de animales de la especie caprina.
catalogos_fraccionarancelaria98,02050001,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada."
catalogos_fraccionarancelaria99,02061001,"De la especie bovina, frescos o refrigerados."
catalogos_fraccionarancelaria100,02062101,Lenguas.
catalogos_fraccionarancelaria101,02062201,Hígados.
catalogos_fraccionarancelaria102,02062999,Los demás.
catalogos_fraccionarancelaria103,02063001,"Pieles de cerdo enteras o en recortes, refrigerados, excepto el cuero precocido en trozos (""pellets"")."
catalogos_fraccionarancelaria104,02063099,Los demás.
catalogos_fraccionarancelaria105,02064101,Hígados.
catalogos_fraccionarancelaria106,02064901,"Pieles de cerdo enteras o en recortes, excepto el cuero precocido en trozos (""pellets"")."
catalogos_fraccionarancelaria107,02064999,Los demás.
catalogos_fraccionarancelaria108,02068099,"Los demás, frescos o refrigerados."
catalogos_fraccionarancelaria109,02069099,"Los demás, congelados."
catalogos_fraccionarancelaria110,02071101,"Sin trocear, frescos o refrigerados."
catalogos_fraccionarancelaria111,02071201,"Sin trocear, congelados."
catalogos_fraccionarancelaria112,02071301,Mecánicamente deshuesados.
catalogos_fraccionarancelaria113,02071302,Carcazas.
catalogos_fraccionarancelaria114,02071303,"Piernas, muslos o piernas unidas al muslo."
catalogos_fraccionarancelaria115,02071399,Los demás.
catalogos_fraccionarancelaria116,02071401,Mecánicamente deshuesados.
catalogos_fraccionarancelaria117,02071402,Hígados.
catalogos_fraccionarancelaria118,02071403,Carcazas.
catalogos_fraccionarancelaria119,02071404,"Piernas, muslos o piernas unidas al muslo."
catalogos_fraccionarancelaria120,02071499,Los demás.
catalogos_fraccionarancelaria121,02072401,"Sin trocear, frescos o refrigerados."
catalogos_fraccionarancelaria122,02072501,"Sin trocear, congelados."
catalogos_fraccionarancelaria123,02072601,Mecánicamente deshuesados.
catalogos_fraccionarancelaria124,02072602,Carcazas.
catalogos_fraccionarancelaria125,02072699,Los demás.
catalogos_fraccionarancelaria126,02072701,Mecánicamente deshuesados.
catalogos_fraccionarancelaria127,02072702,Hígados.
catalogos_fraccionarancelaria128,02072703,Carcazas.
catalogos_fraccionarancelaria129,02072799,Los demás.
catalogos_fraccionarancelaria130,02073201,Derogada
catalogos_fraccionarancelaria131,02073301,Derogada
catalogos_fraccionarancelaria132,02073401,Derogada
catalogos_fraccionarancelaria133,02073599,Derogada
catalogos_fraccionarancelaria134,02073601,Derogada
catalogos_fraccionarancelaria135,02073699,Derogada
catalogos_fraccionarancelaria136,02074101,"Sin trocear, frescos o refrigerados."
catalogos_fraccionarancelaria137,02074201,"Sin trocear, congelados."
catalogos_fraccionarancelaria138,02074301,"Hígados grasos, frescos o refrigerados."
catalogos_fraccionarancelaria139,02074401,"Los demás, frescos o refrigerados."
catalogos_fraccionarancelaria140,02074501,Hígados.
catalogos_fraccionarancelaria141,02074599,Los demás.
catalogos_fraccionarancelaria142,02075101,"Sin trocear, frescos o refrigerados."
catalogos_fraccionarancelaria143,02075201,"Sin trocear, congelados."
catalogos_fraccionarancelaria144,02075301,"Hígados grasos, frescos o refrigerados."
catalogos_fraccionarancelaria145,02075401,"Los demás, frescos o refrigerados."
catalogos_fraccionarancelaria146,02075501,Hígados.
catalogos_fraccionarancelaria147,02075599,Los demás.
catalogos_fraccionarancelaria148,02076001,"Sin trocear, frescas o refrigeradas."
catalogos_fraccionarancelaria149,02076002,"Sin trocear, congeladas."
catalogos_fraccionarancelaria150,02076099,Las demás.
catalogos_fraccionarancelaria151,02081001,De conejo o liebre.
catalogos_fraccionarancelaria152,02083001,De primates.
catalogos_fraccionarancelaria153,02084001,"De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (mamíferos del orden Sirenios); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)."
