id,clave,descripcion
catalogos_clave_prod_stcc1,01,Productos agrícolas
catalogos_clave_prod_stcc2,011,Cultivos de campo
catalogos_clave_prod_stcc3,0112,Algodón en bruto
catalogos_clave_prod_stcc4,01131,Cebada
catalogos_clave_prod_stcc5,01132,Maíz
catalogos_clave_prod_stcc6,01133,Avena
catalogos_clave_prod_stcc7,01134,Arroz
catalogos_clave_prod_stcc8,01135,Centeno
catalogos_clave_prod_stcc9,01136,Sorgo
catalogos_clave_prod_stcc10,01137,Trigo
catalogos_clave_prod_stcc11,01139,Grano
catalogos_clave_prod_stcc12,0114,"Semillas oleaginosas, nueces y granos"
catalogos_clave_prod_stcc13,01144,Soja
catalogos_clave_prod_stcc14,0115,Semillas de campo excluidas semillas oleaginosas
catalogos_clave_prod_stcc15,0119,Cultivos de campo misceláneos
catalogos_clave_prod_stcc16,01193,Tabaco de hoja
catalogos_clave_prod_stcc17,01195,Patatas distintas de las dulces
catalogos_clave_prod_stcc18,01197,Remolacha azucarera
catalogos_clave_prod_stcc19,012,Frutas frescas y nueces de árbol
catalogos_clave_prod_stcc20,0121,Frutas cítricas
catalogos_clave_prod_stcc21,0122,Frutos caducifolios
catalogos_clave_prod_stcc22,01221,Manzanas
catalogos_clave_prod_stcc23,01224,Uvas
catalogos_clave_prod_stcc24,01226,Melocotones
catalogos_clave_prod_stcc25,0123,Frutas tropicales excluidos cítricos
catalogos_clave_prod_stcc26,01232,Plátanos
catalogos_clave_prod_stcc27,0129,Varias frutas frescas y nueces
catalogos_clave_prod_stcc28,01295,Café verde
catalogos_clave_prod_stcc29,013,Vegetales frescos
catalogos_clave_prod_stcc30,0131,"Bulbos, raíces y tubérculos"
catalogos_clave_prod_stcc31,01318,Cebollas secas
catalogos_clave_prod_stcc32,0133,Verduras frescas de hoja
catalogos_clave_prod_stcc33,01334,Apio
catalogos_clave_prod_stcc34,01335,Lechuga
catalogos_clave_prod_stcc35,0134,"Semillas de verduras maduras secas, etc."
catalogos_clave_prod_stcc36,01341,Frijoles maduros secos
catalogos_clave_prod_stcc37,01342,Guisantes secos
catalogos_clave_prod_stcc38,0139,Verduras frescas varias
catalogos_clave_prod_stcc39,01392,Sandías
catalogos_clave_prod_stcc40,01394,Tomates
catalogos_clave_prod_stcc41,01398,Melones excluyendo sandías
catalogos_clave_prod_stcc42,014,Ganadería y ganadería
catalogos_clave_prod_stcc43,0141,Ganado
catalogos_clave_prod_stcc44,01411,Vacas
catalogos_clave_prod_stcc45,01413,"Porcinos, jabalíes y cerdos"
catalogos_clave_prod_stcc46,01414,Ovejas y corderos
catalogos_clave_prod_stcc47,0142,Granja lechera
catalogos_clave_prod_stcc48,0143,Fibras animales
catalogos_clave_prod_stcc49,01431,Lana
catalogos_clave_prod_stcc50,015,Aves de corral
catalogos_clave_prod_stcc51,0151,Aves de corral vivas
catalogos_clave_prod_stcc52,0152,Huevos de aves de corral
catalogos_clave_prod_stcc53,019,Productos agrícolas varios
catalogos_clave_prod_stcc54,0191,Especialidades hortícolas
catalogos_clave_prod_stcc55,0192,Especialidades animales
catalogos_clave_prod_stcc56,08,Productos extranjeros
catalogos_clave_prod_stcc57,084,"Gomas y cortezas, crudas"
catalogos_clave_prod_stcc58,08423,Látex y encías afines
catalogos_clave_prod_stcc59,086,Productos forestales diversos
catalogos_clave_prod_stcc60,09,Pescado fresco
catalogos_clave_prod_stcc61,091,Pescado fresco y productos marinos
catalogos_clave_prod_stcc62,0912,Pescado y ballena
catalogos_clave_prod_stcc63,09131,"Conchas (ostras, cangrejos, etc.)"
catalogos_clave_prod_stcc64,098,"Criaderos de peces, granjas"
catalogos_clave_prod_stcc65,10,Minerales metálicos
catalogos_clave_prod_stcc66,101,Minerales de hierro
catalogos_clave_prod_stcc67,10112,Beneficio de mineral de grado
