id,clave,descripcion
catalogos_materiales_peligrosos1,M0001,"PICRATO AMÓNICO seco o humedecido con menos del 10 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos2,M0002,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos3,M0003,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos4,M0004,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos5,M0005,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos6,M0006,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos7,M0007,"CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE (Producto o material explosivo)",
catalogos_materiales_peligrosos8,M0008,"CARTUCHOS DE FOGUEO PARA ARMAS, , o CARTUCHOS DE FOGUEO PARA ARMAS DE PEQUEÑO CALIBRE, o CARTUCHOS SIN CARGA PARA HERRAMIENTAS (Producto o material explosivo)",
catalogos_materiales_peligrosos9,M0009,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos10,M0010,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos11,M0011,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora o carga propulsora  (Producto o material explosivo)",
catalogos_materiales_peligrosos12,M0012,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos13,M0013,"MUNICIONES TÓXICAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos14,M0014,"MUNICIONES TÓXICAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos15,M0015,PÓLVORA NEGRA (PÓLVORA DE CAÑÓN) en forma de granos o polvo (Producto o material explosivo),
